,t,KiwiSaver Start Balance,Baseline Premium,Offset,Effective Cover,Premium w/ Offset,Premium Saving,Voluntary Contribution,Annual Salary Contribution,Annual Investment Return,KiwiSaver End Balance
0,0,120000.0,1800.0,120000.0,380000.0,1368.0,432.0,432.0,6800,6194.39776,133426.39776
1,1,133426.39776,1854.0,133426.39776,366573.60224000004,1359.25491710592,494.74508289408004,494.74508289408004,6800,6868.766629805512,147589.90947269957
2,2,147589.90947269957,1909.62,147589.90947269957,352410.09052730043,1345.9387141454868,563.6812858545131,563.6812858545131,6800,7580.22739829406,162533.81815684814
